bta,pop94,bid,price94,grow9099,hhinc35k,imwl,density,mtagsm
1,87847,411666,4.68617,-.0117296,.405,9,7.536484,1
2,86041,471750,5.482851,.0804507,.433,3,55.24918,0
3,257862,4024583,15.60751,.0318227,.421,14,54.12991,0
4,52786,783000,14.83348,.0017916,.318,0,32.02028,1
5,94177,701250,7.446085,.0664107,.53,0,256.7059,0
6,339616,4839751,14.25066,.0880236,.413,1,84.04513,1
7,1057098,3.40e+07,32.18386,.0616937,.576,2,577.1839,1
8,742029,2.57e+07,34.67856,.1537001,.497,8,1073.021,1
9,287217,5230575,18.21123,.0521056,.37,5,96.92475,0
10,711560,1.82e+07,25.58955,.0802056,.593,2,770.6642,1
11,65742,475500,7.232819,.0851209,.362,0,34.3061,0
12,227250,2218500,9.762376,.0460477,.425,0,259.1626,1
13,390795,7252500,18.55832,.0598906,.454,9,997.4742,0
14,438931,4922250,11.21418,.2748123,.695,15,7.113574,1
15,181973,2083712,11.45066,.0364376,.466,2,455.312,0
16,312773,8695920,27.80266,.0563724,.442,1,207.1647,1
17,162675,1489729,9.1577,.0010153,.431,5,162.7169,1
18,417826,9919502,23.74075,.1073726,.577,0,735.9066,0
19,85586,1653750,19.32267,.0436461,.38,0,44.11372,1
20,539494,7726500,14.32175,.1121871,.44,2,205.2546,1
21,102450,900000,8.784773,.0596972,.433,1,445.8932,0
22,176197,5953500,33.78888,.1193095,.44,2,396.0369,1
23,130829,1356825,10.37098,.1260055,.352,4,129.7983,1
24,3555441,1.99e+08,56.01331,.2295499,.613,21,682.6107,1
25,334645,1.46e+07,43.70306,.1119176,.594,1,647.5983,0
26,569850,1.31e+07,22.93103,.1934159,.51,3,459.9503,1
27,998293,4.92e+07,49.27662,.2439936,.547,17,758.8865,0
28,618209,2.69e+07,43.58004,.2947356,.544,9,1386.479,1
29,2534922,9.41e+07,37.13487,.0968958,.634,12,1955.908,1
30,323605,4130250,12.76325,.055973,.45,3,38.58793,0
31,50014,214501.5,4.288829,.0847714,.543,1,1341.397,0
32,653907,2.55e+07,39.01931,.1122268,.502,7,648.1009,0
33,234519,6284250,26.79634,.0680169,.511,0,297.9319,0
34,457088,1.51e+07,32.99857,.1232773,.474,15,592.0129,1
35,170747,731257.5,4.282696,.0466208,.349,0,70.45209,0
36,145362,4959000,34.11483,.2918751,.567,6,296.7042,0
37,61574,270000,4.384968,.1443422,.385,2,16.07435,1
38,124073,1666500,13.43161,.4105991,.502,2,22.89611,1
39,161613,4206000,26.02514,.001617,.496,1,403.1848,0
40,35367,650625.8,18.39641,.0175442,.49,4,676.3787,0
41,300763,3210833,10.67563,.0659942,.444,13,7.331103,0
42,358772,1.28e+07,35.63405,.1154049,.444,2,772.695,0
43,362869,6902254,19.02134,.0398957,.512,1,364.4288,1
44,1250240,4.73e+07,37.79293,.0849131,.475,14,519.5661,1
45,125390,557274.8,4.444332,.0287384,.515,8,33.55442,1
46,225149,5391000,23.94414,.0969302,.56,0,254.2471,0
47,226387,5679750,25.08868,.0853164,.451,1,285.639,0
48,184736,1458751,7.896408,.0004166,.34,0,106.4775,0
49,78404,471750,6.016912,-.0366581,.368,0,398.9176,1
50,473776,7742325,16.34174,.2908427,.491,3,769.5173,1
51,4114801,2.31e+08,56.18109,-.0107462,.657,5,2138.83,0
52,231742,3783750,16.32743,.0800526,.382,1,71.52169,0
53,70581,1714501,24.29125,.1640721,.431,1,25.02493,0
54,84681,333300.8,3.935957,.1673527,.365,3,18.87705,1
55,228228,1.02e+07,44.84332,.4124931,.627,2,734.9276,0
56,304935,1.32e+07,43.34448,.2028859,.328,2,478.1266,0
57,59311,976500,16.46406,.0618761,.327,1,22.49732,0
58,75330,1232325,16.35902,.1124907,.501,1,239.5088,1
59,157834,4437794,28.11684,.1074577,.407,3,2352.798,1
60,1249107,3.43e+07,27.48044,.0258625,.521,2,1524.523,0
61,140223,594753.8,4.241485,.0334927,.455,1,94.19395,1
62,114994,1669500,14.51815,.1227785,.471,0,585.232,1
63,383776,8721000,22.72419,.0886189,.563,0,109.2431,1
64,67609,260832.8,3.857959,.0559294,.385,11,16.60394,0
65,527510,8987250,17.03712,.0574306,.483,2,500.519,0
66,184474,2502750,13.56695,.0326062,.391,1,117.6364,0
67,211455,2370750,11.21161,.0185363,.37,3,234.6633,0
68,54341,521250,9.592205,.242511,.477,1,441.2507,1
69,140247,1531500,10.92002,.0864027,.566,7,46.22849,1
70,266606,5171252,19.39661,.0552997,.543,2,619.386,1
