bidder_num_fox,bidder_num,co_name,pops_eligible,bta,City,State,Applicant_Status,Legal_Classification
1,2000,"MLCS Industries II, Inc.",3777777.8,78,Schaumburg,IL,,Corporation
2,2001,"MLCS Industries, Inc.",422222.2333,78,Schaumburg,IL,,Corporation
3,2004,"Holland Wireless, L.L.C.",316633.0,453,Holland Patent,NY,,Corporation
4,2005,"PerCommServ, Inc.",2412161.0,404,San Jose,CA,Minority Owned Business,Corporation
5,2006,E. Ritter Telephone Company,79446.66667,219,Marked Tree,AR,Rural Telephone Company,Corporation
6,2009,Southwest Texas Telephone_Company,190434.0,400,Rocksprings,TX,Rural Telephone Company,Corporation
7,2010,St. Lawrence Seaway PCS Partnership,1087393.0,463,Hammond,NY,,General Partnership
8,2013,"WIRELESS VENTURES, INC.",555555.5667,84,Cleveland,OH,,Corporation
9,2017,"MBO Wireless, Inc.",486828.0,311,Warner,OK,"Minority Owned Business,Woman Owned Business",Corporation
10,2018,FAMS & ASSOCIATES,94444.46667,461,ROCKVILLE,MD,,Individual
11,2019,"Western New York Cellular, Inc.",186945.0,215,Westfield,NY,,Corporation
12,2020,NORTHEAST NEBRASKA TELEPHONE COMPANY,649161.0,421,JACKSON,NE,Rural Telephone Company,Corporation
13,2021,PCS of Maine,471614.0,357,Portland,ME,,Corporation
14,2025,"Lackawaxen Telephone Company, Inc.",1000000.0,321,Rowland,PA,Rural Telephone Company,Corporation
15,2028,"JOMR Wireless, L.L.C.",190806.0,210,Hazlehurst,MS,,Limited Liability Company
16,2030,Cable & Communications Corporation,422222.2333,41,Circle,MT,Rural Telephone Company,Corporation
17,2031,"West Enfield Communications, Inc.",317777.8,461,Washington,DC,,Corporation
18,2034,Telephone Service Company,249734.0,255,Wapakoneta,OH,Rural Telephone Company,Corporation
19,2035,HAMIILTON TELEPHONE COMPANY,604138.0,167,AURORA,NE,Rural Telephone Company,Corporation
20,2038,"Tipton Telephone Co., Inc.",184899.0,233,Tipton,IN,Rural Telephone Company,Corporation
