bta,market,bid,winner,bidder_num_fox,pop90,percapin,hhinc35k,density,imwl
1,Aberdeen,411666.0,MCG,202,88891.0,14926.0,0.405,7.536484,9
2,Aberdeen,471750.0,CookWest,184,83057.0,16374.0,0.433,55.24918,3
3,"Abilene,",4024583.0,PokaLam,164,253174.0,15377.0,0.421,54.12991,14
4,"Ada, OK",783000.0,OnQue,238,52677.0,12644.0,0.318,32.02028,0
5,"Adrian,",701250.0,DCR,190,91476.0,16069.0,0.53,256.7059,0
6,"Albany,",4839751.0,Enterpri,102,324899.0,14041.0,0.413,84.04513,1
7,"Albany,",34000000.0,NextWave,77,1028615.0,20448.0,0.576,577.1839,2
8,Albuquer,25700000.0,BDPCS,186,688612.0,16949.0,0.497,1073.021,8
9,Alexandr,5230575.0,Wire2000,244,280133.0,12944.0,0.37,96.92475,5
10,Allentow,18200000.0,NextWave,77,686688.0,20128.0,0.593,770.6642,2
11,"Alpena,",475500.0,NMich,104,63429.0,13747.0,0.362,34.3061,0
12,"Altoona,",2218500.0,LongSt,254,222625.0,14989.0,0.425,259.1626,0
13,Amarillo,7252500.0,Omnipoin,209,380341.0,16081.0,0.454,997.4742,9
14,Anchorag,4922250.0,Americal,37,388943.0,24021.0,0.695,7.113574,15
15,Anderson,2083712.0,ComVent,49,178808.0,16129.0,0.466,455.312,2
16,Anderson,8695920.0,Carolina,74,305120.0,15301.0,0.442,207.1647,1
17,Anniston,1489729.0,MercuryP,30,161897.0,14886.0,0.431,162.7169,5
18,Appleton,9919502.0,WirePCS,106,399261.0,18523.0,0.577,735.9066,0
19,"Ardmore,",1653750.0,OnQue,238,83979.0,14405.0,0.38,44.11372,0
20,Ashevill,7726500.0,NextWave,77,510055.0,16717.0,0.44,205.2546,2
21,Ashtabul,900000.0,WireVent,8,99821.0,14260.0,0.433,445.8932,1
22,"Athens,",5953500.0,GWI,181,166030.0,16123.0,0.44,396.0369,2
23,"Athens,",1356825.0,Chillico,166,123864.0,13144.0,0.352,129.7983,4
24,"Atlanta,",199000000.0,GWI,181,3197171.0,21152.0,0.613,682.6107,21
25,Atlantic,14600000.0,Omnipoin,209,319416.0,21060.0,0.594,647.5983,1
26,"Augusta,",13100000.0,Savannah,187,521822.0,17071.0,0.51,459.9503,3
27,"Austin,",49200000.0,NextWave,77,899361.0,20460.0,0.547,758.8865,17
28,Bakersfi,26900000.0,PCS2000,182,543477.0,16249.0,0.544,1386.479,9
29,Baltimor,94100000.0,NextWave,77,2430563.0,22151.0,0.634,1955.908,12
30,"Bangor,",4130250.0,PerComN,174,316838.0,16066.0,0.45,38.58793,3
31,Bartlesv,214501.5,CookWest,184,48066.0,20375.0,0.543,1341.397,1
32,Baton Ro,25500000.0,Meretel,245,623657.0,16955.0,0.502,648.1009,7
33,Battle C,6284250.0,DCR,190,227541.0,16727.0,0.511,297.9319,0
34,Beaumont,15100000.0,Meretel,245,432129.0,16398.0,0.474,592.0129,15
35,"Beckley,",731257.5,Devon,61,167112.0,13544.0,0.349,70.45209,0
36,Bellingh,4959000.0,BDPCS,186,127780.0,20128.0,0.567,296.7042,6
37,"Bemidji,",270000.0,Integrat,156,57632.0,12969.0,0.385,16.07435,2
38,"Bend, OR",1666500.0,AerForce,89,102745.0,17477.0,0.502,22.89611,2
39,Benton H,4206000.0,R&S,58,161378.0,16835.0,0.496,403.1848,1
40,Big Spri,650625.8,PokaLam,164,34589.0,16474.0,0.49,676.3787,4
41,Billings,3210833.0,Polycell,203,290242.0,15510.0,0.444,7.331103,13
42,"Biloxi,",12800000.0,TriState,84,339791.0,14893.0,0.444,772.695,2
43,Binghamt,6902254.0,21Centur,152,356645.0,17657.0,0.512,364.4288,1
44,Birmingh,47300000.0,MercuryP,30,1200336.0,17382.0,0.475,519.5661,14
45,"Bismark,",557274.8,MCG,202,123682.0,17242.0,0.515,33.55442,8
46,Blooming,5391000.0,DCR,190,215795.0,19167.0,0.56,254.2471,0
47,Blooming,5679750.0,NextWave,77,217914.0,16460.0,0.451,285.639,1
48,Bluefiel,1458751.0,Devon,61,184020.0,13272.0,0.34,106.4775,0
49,Blythevi,471750.0,Eldorado,94,79446.0,13191.0,0.368,398.9176,0
50,"Boise, I",7742325.0,PCS2000,182,416503.0,16836.0,0.491,769.5173,3
51,"Boston,",231000000.0,NextWave,77,4133895.0,24433.0,0.657,2138.83,5
52,Bowling,3783750.0,SETel,114,222748.0,14300.0,0.382,71.52169,1
53,"Bozeman,",1714501.0,MountSol,55,65077.0,16707.0,0.431,25.02493,1
54,Brainerd,333300.8,WMinn,160,78465.0,13788.0,0.365,18.87705,3
55,Bremerto,10200000.0,BDPCS,186,189731.0,20002.0,0.627,734.9276,2
56,Brownsvi,13200000.0,NextWave,77,277825.0,9580.0,0.328,478.1266,2
57,Brownwoo,976500.0,Rosas,110,57684.0,13111.0,0.327,22.49732,1
58,Brunswic,1232325.0,KMTel,31,71130.0,18092.0,0.501,239.5088,1
59,"Bryan, T",4437794.0,NextWave,77,150998.0,15902.0,0.407,2352.798,3
60,"Buffalo,",34300000.0,Omnipoin,209,1231795.0,18525.0,0.521,1524.523,2
61,Burlingt,594753.8,BRK,252,137543.0,15834.0,0.455,94.19395,1
62,Burlingt,1669500.0,UrbanC,108,108213.0,17185.0,0.471,585.232,0
63,Burlingt,8721000.0,PerComN,174,369128.0,18906.0,0.563,109.2431,0
64,"Butte, M",260832.8,MCG,202,65252.0,14894.0,0.385,16.60394,11
65,"Canton,",8987250.0,R&S,58,513623.0,16431.0,0.483,500.519,2
66,Cape Gir,2502750.0,Roberts,219,181795.0,14018.0,0.391,117.6364,1
67,Carbonda,2370750.0,DCR,190,209497.0,14556.0,0.37,234.6633,3
68,Carlsbad,521250.0,HighCnty,85,48605.0,15300.0,0.477,441.2507,1
69,"Casper,",1531500.0,HighCnty,85,135172.0,18774.0,0.566,46.22849,7
70,Cedar Ra,5171252.0,WirePCS,106,260686.0,18354.0,0.543,619.386,2
71,Champaig,6065250.0,DCR,190,222312.0,17955.0,0.494,1132.042,3
72,Charlest,25000000.0,Carolina,74,624369.0,18031.0,0.556,615.3713,11
73,Charlest,7925251.0,PCSMob,207,481387.0,14876.0,0.394,114.7056,1
74,Charlott,83700000.0,NextWave,77,1671037.0,18230.0,0.529,393.9606,8
75,Charlott,7415250.0,Virginia,72,190128.0,18824.0,0.53,110.5171,3
76,Chattano,16000000.0,ChaseTel,177,510860.0,16307.0,0.449,567.532,1
